LOC105665897	XM_048407609.1
LOC100647135	XM_048404654.1,XM_048404655.1,XM_048404653.1,XM_048404652.1,XM_048404658.1,XM_048404674.1,XM_048404657.1,XM_048404667.1,XM_048404669.1,XM_048404670.1,XM_048404661.1,XM_048404673.1,XM_048404660.1,XM_048404672.1,XM_048404666.1,XM_048404659.1,XM_048404671.1,XM_048404664.1,XM_048404662.1,XM_048404663.1,XM_048404668.1,XM_048404656.1,XM_048404665.1
LOC125385996	XM_048410364.1
LOC100649096	XM_003397926.3,XM_020864764.2
LOC100651167	XM_048409297.1,XM_048409295.1,XM_048409292.1,XM_048409291.1,XM_048409293.1,XM_048409294.1,XM_048409296.1,XM_048409290.1
LOC100651872	XM_003394235.4
LOC125386476	XM_048412990.1
LOC100645685	XM_003399751.4,XM_012314688.3
LOC100650101	XM_012318392.3,XM_048404315.1
LOC100648560	XM_003397359.4
LOC100650691	XM_012312979.3,XM_012312978.3,XM_048409284.1,XM_012312984.3,XM_048409286.1,XM_012312982.3,XM_012312985.3,XM_012312983.3
LOC100643074	XM_003394636.4,XM_012321121.3,XM_020868603.2
LOC100644268	XM_048411952.1,XM_003400549.4
LOC100648893	XM_048409228.1,XM_003393422.3
LOC100648800	XM_003400666.3
LOC100644496	XM_003399976.4
LOC100646541	XM_012310865.3
LOC100649144	XM_003397767.4
LOC100645396	XM_012319645.3,XM_012319646.3
LOC100646055	XM_003394188.4,XM_020868668.2,XM_048404362.1
LOC100645798	XM_003397097.4
LOC100645299	XM_012315455.3
LOC100649260	XM_048407963.1,XM_012311066.2,XM_048407962.1,XM_048407961.1,XM_048407959.1,XM_048407960.1,XM_048407958.1,XM_012311062.2,XM_048407964.1
LOC100649423	XM_048410312.1,XM_003399378.4,XM_012314364.3
LOC105666056	XM_012311874.3
LOC100642444	XM_003394877.4
LOC100651638	XM_048406049.1,XM_048406048.1,XM_012308939.3,XM_020863174.2,XM_048406051.1,XM_048406050.1,XM_012308940.3,XM_048406052.1
LOC125387075	XM_048414262.1,XM_048414261.1
LOC100648109	XM_012314554.3,XM_003399449.4
LOC100642771	XM_048411118.1,XM_048411120.1,XM_048411119.1,XM_012315202.3,XM_048411122.1,XM_003399889.4,XM_048411121.1
LOC100649842	XM_003395995.4
LOC100644023	XM_048408964.1,XM_048408961.1,XM_048408963.1,XM_048408962.1
LOC125384731	XM_048404469.1
LOC100652123	XM_012311529.3,XM_020864631.2,XM_048408356.1,XM_048408357.1,XM_048408359.1,XM_048408360.1
LOC100647456	XM_003395401.4
LOC100644253	XM_020863846.2,XM_003396192.4,XM_012309661.3
LOC100643170	XM_048409691.1,XM_012312366.3
LOC100649040	XM_012318508.3,XM_012318507.3,XM_003402271.4,XM_020867593.2,XM_048406502.1,XM_020867594.2
LOC100643247	XM_020864995.2
LOC125384644	XM_048405397.1
LOC110119565	XM_048408312.1
LOC100644440	XM_003396357.4,XM_012310047.3
LOC100651478	XM_012320285.3
LOC105666226	XM_012313516.3
LOC100642762	XM_012311541.3
LOC100645340	XM_003399427.4
LOC100650978	XM_003400439.4
LOC100643673	XM_012319119.3
LOC100650621	XM_003401492.4
LOC100645706	XM_048404449.1,XM_048404450.1,XM_048404451.1,XM_048404448.1
LOC105665661	XM_012307923.3
LOC100648823	XM_003395829.4
LOC100644426	XM_020868169.2
LOC100645308	XM_003393236.4
LOC125386434	XM_048412741.1,XM_048412739.1
LOC100646630	XM_012313782.3,XM_003398962.4,XM_012313783.3
LOC100644408	XM_048408614.1,XM_003397566.4
LOC100647053	XM_048414632.1,XM_048414614.1,XM_048414617.1,XM_020864091.2,XM_020864093.2,XM_020864097.2,XM_020864088.2,XM_020864087.2
LOC100645728	XM_048411351.1,XM_048411352.1,XM_048411350.1,XM_012315460.3,XM_003400314.4
LOC100642193	XM_003393599.4
LOC100647749	XM_003399768.4,XM_020865950.2
LOC100642603	XM_020863101.2,XM_003395285.4,XM_020863100.2
LOC100649008	XM_012318632.3,XM_012318629.3,XM_003402426.4,XM_003402427.4,XM_012318630.3
LOC100642690	XM_048406814.1,XM_048406815.1
LOC100643036	XM_012308129.2,XM_012308128.2
LOC100651455	XM_048410131.1,XM_020865513.2
LOC100645717	XM_048407067.1,XM_048407066.1,XM_020863570.2,XM_048407065.1,XM_048407069.1,XM_048407063.1,XM_020863571.2,XM_048407061.1,XM_048407068.1,XM_048407064.1,XM_012310666.3,XM_003396850.4
LOC100648442	XM_003397358.4,XM_048408832.1
LOC125385926	XM_048409956.1
LOC100649026	XM_048408466.1
LOC100650955	XM_012320866.3,XM_012320865.3,XM_012320870.3,XM_012320867.3
LOC100646133	XM_003393000.3
LOC100645031	XM_012318471.3,XM_020867609.2,XM_020867610.2
LOC100646657	XM_003395971.4
LOC100642235	XM_048407792.1,XM_048407803.1,XM_048407794.1,XM_048407799.1,XM_048407808.1,XM_048407812.1
LOC100646883	XM_012318317.3,XM_012318315.3,XM_048414100.1,XM_003402099.3
LOC100648764	XM_003399857.4
LOC100644694	XM_020866289.2
LOC100649387	XM_048409259.1,XM_012312609.3,XM_003398251.4
LOC125385723	XM_048409105.1
LOC105666399	XM_048411545.1
LOC125386674	XM_048413682.1
LOC100649969	XM_003398905.4
LOC100645903	XM_012320413.3
LOC100643321	XM_048406093.1,XM_003395615.3
LOC100647460	XM_048407078.1,XM_020863539.2
LOC100645990	XM_048407697.1,XM_048407696.1,XM_020863586.2,XM_048407695.1
LOC100649331	XM_012309827.3,XM_012309830.3,XM_012309829.3,XM_003396234.4,XM_048407005.1,XM_048407004.1
LOC100646470	XM_012311396.3
LOC105666871	XM_012319344.3
LOC100646295	XM_012308438.3,XM_012308434.3,XM_012308441.3,XM_012308436.3,XM_003395811.4,XM_012308443.3,XM_012308437.3,XM_020862965.2,XM_012308439.3
LOC100647223	XM_012311587.3,XM_003397427.4,XM_012311588.3
LOC100645087	XM_003398381.4
LOC100643701	XM_048409522.1
LOC100649115	XM_012316210.3,XM_048412077.1,XM_048412078.1,XM_048412079.1,XM_048412080.1
LOC100645743	XM_003393626.4,XM_012317079.3,XM_048414386.1
LOC100647654	XM_012308824.3,XM_003395652.4
LOC100645059	XM_048411560.1
LOC100650536	XM_020865784.2,XM_048411036.1,XM_048411037.1
LOC125385171	XM_048406172.1
LOC100648848	XM_003392945.4
LOC100652235	XM_020863745.2,XM_003396257.4,XM_012309870.3
LOC105665838	XM_012309361.2
LOC100643941	XM_020864332.2,XM_012312043.3,XM_003397886.4,XM_048408877.1
LOC100642415	XM_048410955.1
LOC100643665	XM_003400544.3,XM_012316143.3
LOC105666468	XM_020866603.2,XM_020866602.2
LOC100642646	XM_048409620.1,XM_048409619.1,XM_012312418.3,XM_012312419.3,XM_012312417.3
LOC100647068	XM_048408462.1
LOC100651886	XM_003397870.4
LOC100644562	XM_003396841.4
LOC100644802	XM_020863948.2
LOC125386667	XM_048413669.1
LOC100646078	XM_003400805.4
LOC100644000	XM_012308916.3,XM_020862718.2,XM_003393068.4,XM_012308905.3
LOC125386214	XM_048411522.1
LOC125385162	XM_048406151.1,XM_048406150.1,XM_048406149.1
LOC100642809	XM_048407777.1,XM_020863726.2,XM_048407778.1
LOC100642569	XM_012309638.2
LOC100652100	XM_003402981.4
LOC100652193	XM_012309758.3,XM_048407336.1
LOC100651136	XM_048410805.1,XM_012315026.3,XM_012315024.3
LOC100650770	XM_048407487.1,XM_020863681.2
LOC100645854	XM_003402557.4,XM_048409546.1,XM_020867802.2
LOC105667174	XM_048404632.1
LOC100647248	XM_012320587.3
LOC100645946	XM_003395723.4,XM_003395724.4
LOC100644571	XM_048410466.1
LOC100645229	XM_003403380.3
LOC125384615	XM_048414509.1
LOC100650365	XM_003397215.4
LOC125387063	XM_048414224.1
LOC100647909	XM_003399850.4,XM_020865993.2,XM_012315170.2
LOC100649400	XM_003402586.4
LOC100648629	XM_048406232.1,XM_048406231.1,XM_048406235.1,XM_048406238.1,XM_048406228.1,XM_048406233.1,XM_048406230.1,XM_048406229.1,XM_048406227.1,XM_048406237.1,XM_048406236.1,XM_020863221.2,XM_048406234.1
LOC100644208	XM_020863737.2,XM_012310044.3,XM_012310045.3,XM_012310043.3,XM_003396355.4,XM_048407009.1
LOC100651116	XM_003393439.4
LOC100648860	XM_003395579.4
LOC100651697	XM_012315194.3,XM_012315195.3,XM_012315196.3,XM_012315193.3
LOC100646841	XM_003400160.4
LOC100648593	XM_048405204.1,XM_048405205.1,XM_012307852.3,XM_048405203.1,XM_048405202.1
LOC125386234	XM_048411594.1
LOC100644949	XM_003402083.4,XM_048414066.1
LOC100651255	XM_003398916.4
LOC100647040	XM_012315380.3
LOC100642675	XM_003393214.4
LOC100648242	XM_003395083.4
LOC105666253	XM_012313882.3
LOC100651572	XM_048409301.1,XM_048409299.1
LOC100645642	XM_020864882.2,XM_020864881.2
LOC100642435	XM_003393212.4
LOC100648394	XM_012309557.3
LOC100651025	XM_012318025.3,XM_003401891.4,XM_048413610.1,XM_048413608.1,XM_012318027.3,XM_048413609.1
LOC100652215	XM_012318913.3,XM_003402607.4
LOC105665818	XM_012309216.3
LOC100649456	XM_048409026.1,XM_020864421.2
LOC100650516	XM_003394458.3
LOC100646147	XM_048407863.1,XM_048407872.1,XM_048407871.1,XM_048407873.1,XM_003396774.4,XM_048407865.1,XM_048407867.1,XM_048407864.1,XM_048407869.1,XM_048407866.1,XM_048407870.1
LOC100647842	XM_003395001.4
LOC125387124	XM_048414281.1
LOC100647585	XM_048410646.1,XM_048410652.1,XM_048410648.1,XM_048410647.1,XM_048410643.1,XM_048410644.1,XM_048410645.1,XM_048410651.1,XM_048410649.1,XM_048410650.1
LOC100647423	XM_003397191.4,XM_003397190.4
LOC100651561	XM_012308743.3
LOC100646495	XM_048414319.1,XM_048414322.1,XM_012316023.3,XM_048414323.1,XM_012316004.3,XM_012316037.3,XM_012316044.3,XM_012315998.3,XM_012316063.3,XM_012315989.3,XM_012316048.3,XM_003393553.4,XM_048414317.1,XM_048414318.1,XM_048414321.1
LOC100650507	XM_048409169.1
LOC100643579	XM_003397883.4
LOC100652156	XM_048405353.1,XM_048405356.1,XM_048405354.1
LOC105665827	XM_048406552.1
LOC100651801	XM_048406822.1,XM_048406821.1,XM_048406820.1,XM_048406823.1
LOC100645975	XM_020863710.2,XM_012311589.2,XM_003393241.3,XM_048404119.1
LOC100647260	XM_048406452.1,XM_048406450.1,XM_020863365.2,XM_048406449.1,XM_048406447.1,XM_048406453.1,XM_048406451.1,XM_048406448.1,XM_048406456.1,XM_048406455.1
LOC100642942	XM_020867106.2,XM_048412429.1
LOC100644056	XM_003395792.4,XM_048406083.1
LOC100648062	XM_020865697.2
LOC100646270	XM_012316539.3,XM_048412105.1,XM_012316540.3
LOC100647144	XM_048406726.1,XM_048406727.1,XM_048406725.1,XM_048406728.1,XM_048406730.1,XM_048406729.1
LOC100642322	XM_048405243.1,XM_003394876.4
LOC105665976	XM_012310824.3,XM_048407891.1
LOC110119865	XM_020866510.2
LOC105666268	XM_012314076.3
LOC100642702	XM_012314828.3,XM_012314826.3
LOC100645011	XM_048408665.1,XM_012311904.3,XM_012311903.3,XM_003397653.4,XM_012311906.3
LOC100649135	XM_003396151.4
LOC100643786	XM_003401677.4
LOC100643125	XM_003397801.4,XM_012312143.3
LOC125386118	XM_048411053.1
LOC100643388	XM_048405365.1,XM_003402380.4
LOC100649311	XM_003401319.3
LOC100650874	XM_012313885.3
LOC100645750	XM_048405227.1,XM_003395064.4
LOC100648169	XM_012311836.3
LOC100643983	XM_048410999.1,XM_012315124.3,XM_012315129.3,XM_048410998.1,XM_003399820.4,XM_012315126.3,XM_012315127.3,XM_012315130.3
LOC100649885	XM_012311635.3,XM_003397449.4
LOC100649542	XM_003398418.4,XM_012312807.3
LOC100648915	XM_048412653.1,XM_003401149.4
LOC100646610	XM_003402251.3
LOC100643007	XM_048410078.1
LOC100645781	XM_012318965.3
LOC100650079	XM_048407627.1,XM_020864032.2
LOC100646113	XM_003397580.3
LOC100649293	XM_003395907.4
LOC100650795	XM_012317942.3
LOC100645737	XM_048409510.1,XM_012320018.3,XM_048409511.1,XM_048409512.1,XM_048409513.1
LOC100644329	XM_020863788.2,XM_048407201.1,XM_048407202.1
LOC100649200	XM_012310578.3,XM_048406538.1
LOC100647448	XM_048409186.1
LOC100645429	XM_012319596.3,XM_012319594.3,XM_003403169.4,XM_048413242.1,XM_048413241.1
LOC100644709	XM_048412203.1,XM_048412250.1,XM_003392911.4,XM_020863757.2,XM_048412287.1,XM_048412459.1,XM_012319151.3,XM_012319213.3,XM_012319282.3
LOC105666203	XM_048410639.1
LOC105666290	XM_012314215.3
LOC100649124	XM_003403036.4,XM_048413089.1,XM_048413088.1,XM_048413090.1,XM_048413092.1,XM_048413091.1,XM_048413096.1,XM_048413093.1,XM_048413095.1
LOC100651205	XM_003397222.4
LOC100643134	XM_003400128.4,XM_048411458.1,XM_048411459.1
LOC100643089	XM_003399332.4
LOC105665995	XM_012311046.1
LOC100651712	XM_003393832.4
LOC100650530	XM_020864299.2
LOC100643678	XM_048410986.1
LOC100646521	XM_020867683.2,XM_048405480.1
LOC110119612	XM_020864944.2
LOC100644731	XM_020865437.2,XM_003398863.4
LOC100651157	XM_048406894.1,XM_003395845.4,XM_048406895.1
LOC100650973	XM_003399316.4,XM_048410308.1,XM_048410309.1,XM_048410310.1,XM_020865608.2,XM_012314342.3
LOC100648550	XM_003394761.4,XM_048405300.1
LOC100648492	XM_012317961.3,XM_003402030.4
LOC100644787	XM_048406387.1,XM_012319385.3,XM_048406386.1,XM_048406391.1,XM_012319384.3,XM_048406388.1,XM_048406389.1,XM_012319388.3,XM_012319387.3,XM_012319389.3,XM_012319386.3,XM_020868031.2,XM_012319390.3
LOC100651880	XM_003396337.4
LOC100644258	XM_048407388.1,XM_048407389.1,XM_048407390.1
LOC100642640	XM_003397072.4
LOC100647075	XM_003399364.4
LOC125384769	XM_048404644.1
LOC100646065	XM_003397982.4
LOC100651130	XM_012310615.3
LOC100651851	XM_012315599.3,XM_012315600.3
LOC100650557	XM_003395346.3
LOC100644644	XM_003397568.4
LOC100643719	XM_003392903.4,XM_012318496.3
LOC100647522	XM_012318493.3
LOC100648581	XM_003402114.4,XM_003402113.4
LOC100644028	XM_012313528.3,XM_048410582.1,XM_012313529.3,XM_048410581.1,XM_048410586.1,XM_048410585.1,XM_048410584.1,XM_048410583.1,XM_048410588.1,XM_048410587.1
LOC100652128	XM_003398111.4,XM_012312412.3
LOC100651082	XM_012310908.3,XM_012310907.3
LOC100649417	XM_003398090.4,XM_020865008.2
LOC100644006	XM_012320756.3,XM_048414657.1,XM_012320755.3,XM_003394256.4,XM_048414656.1
LOC100649406	XM_012320712.3,XM_048414661.1,XM_048414660.1,XM_048414663.1,XM_048414662.1
LOC100643884	XM_003394968.4
LOC100644017	XM_003396190.4
LOC100651633	XM_003393989.4
LOC100652117	XM_020863384.2,XM_020863386.2
LOC100649428	XM_048412925.1,XM_012317151.3
LOC105666635	XM_012317867.3,XM_012317866.3,XM_012317865.3,XM_012317868.3
LOC100650378	XM_003401328.3
LOC100645940	XM_003394657.3,XM_003394658.4
LOC100643438	XM_003394402.4,XM_012320998.3,XM_048404174.1,XM_048404173.1,XM_048404172.1,XM_012320997.3
LOC100650776	XM_003398020.4
LOC100643991	XM_048413855.1,XM_020867424.2,XM_012317978.3,XM_012317981.3,XM_012317980.3
LOC100651839	XM_003397385.4
LOC100644263	XM_048409227.1,XM_003398205.4
LOC100645320	XM_012308465.3
LOC100648898	XM_003396468.3,XM_020863790.2
LOC125384624	XM_048404536.1,XM_048404535.1
LOC100646636	XM_048412550.1,XM_048412552.1,XM_048412551.1,XM_048412549.1
LOC100642385	XM_003400533.4,XM_012316136.3
LOC100646912	XM_012312179.3
LOC100643227	XM_012319270.3,XM_012319271.3,XM_012319268.3,XM_048404478.1,XM_048404479.1,XM_048404476.1
LOC100645793	XM_012309362.3,XM_048406477.1
LOC100644420	XM_003401920.4
LOC100649237	XM_012317590.3,XM_012317589.3,XM_020867236.2
LOC100645700	XM_020867763.2
LOC100649020	XM_003396469.3
LOC100649281	XM_003403266.4
LOC100643030	XM_003393375.4,XM_012312860.3
LOC100642696	XM_003397955.4
LOC100650589	XM_048407148.1,XM_048407134.1,XM_048407142.1,XM_048407137.1,XM_048407144.1,XM_048407145.1
LOC100643218	XM_012316634.3,XM_048412776.1,XM_012316633.3,XM_048412772.1,XM_048412774.1,XM_048412773.1
LOC100642752	XM_003394959.4
LOC100652143	XM_020867514.2,XM_003402141.4
LOC100647911	XM_003400331.4
LOC100649250	XM_048414415.1,XM_048414414.1,XM_048414410.1,XM_048414412.1,XM_048414413.1,XM_048414416.1,XM_048414411.1,XM_048414418.1,XM_048414417.1
LOC110120235	XM_048407998.1,XM_020868221.2
LOC100644759	XM_012308991.3,XM_003395798.4
LOC125386055	XM_048410695.1
LOC105667076	XM_012320140.3
LOC100649822	XM_020865909.2
LOC100644043	XM_003402541.4,XM_048407574.1
LOC100642424	XM_048413199.1,XM_012317799.3,XM_012317803.3,XM_012317804.3,XM_003401744.4,XM_048413200.1,XM_012317801.3,XM_012317802.2
LOC100651189	XM_012314564.3,XM_048409621.1,XM_048409623.1,XM_003393511.4
LOC100649443	XM_003394373.4
LOC100651034	XM_012321347.3,XM_012321346.3,XM_048405107.1
LOC100642811	XM_048408724.1
LOC100643057	XM_048412185.1,XM_020866511.2
LOC100646476	XM_020865459.2
LOC100645996	XM_020864780.2
LOC100647466	XM_003397590.4
LOC100647298	XM_012310137.3,XM_048407716.1
LOC100642887	XM_048408343.1,XM_020864803.2,XM_012311536.3,XM_048408342.1,XM_020864805.2,XM_048408344.1,XM_020864804.2,XM_048408345.1,XM_048408347.1
LOC100642653	XM_003399888.4
LOC100651273	XM_012320388.2,XM_012320402.2,XM_012320380.3,XM_003393122.4,XM_012320395.3
LOC100644999	XM_048404385.1,XM_012320633.3,XM_012320632.3,XM_012320616.3,XM_012320631.3,XM_012320629.3,XM_048404386.1,XM_048404381.1,XM_048404384.1,XM_048404383.1,XM_048404382.1,XM_048404387.1,XM_048404388.1
LOC100649058	XM_020863294.2,XM_020863293.2,XM_048406095.1,XM_020863295.2
LOC100643812	XM_012311125.3
LOC100647369	XM_012313336.3,XM_012313329.3,XM_048409008.1,XM_020864620.2,XM_048408999.1,XM_048409012.1,XM_048408994.1
LOC100650905	XM_012317427.3,XM_012317424.3,XM_012317426.3,XM_012317425.3
LOC100646891	XM_048408041.1
LOC105666552	XM_012316996.3
LOC100645102	XM_012317717.2,XM_048413215.1,XM_003401688.4,XM_012317718.3,XM_048413216.1,XM_012317719.3,XM_020867284.2
LOC100647931	XM_012310347.3,XM_012310344.3,XM_012310346.3,XM_012310343.3,XM_012310345.3,XM_003396623.4,XM_048407079.1,XM_048407081.1,XM_048407080.1
LOC100651405	XM_020863573.2,XM_003396486.4
LOC100645577	XM_003401207.4
LOC100646379	XM_003395726.4
LOC100645692	XM_020866717.2
LOC125384871	XM_048404959.1,XM_048404957.1,XM_048404960.1,XM_048404958.1
LOC100645358	XM_048409103.1
LOC100647987	XM_003398807.4,XM_020865299.2,XM_012313432.3,XM_012313430.3
LOC100645756	XM_048407974.1,XM_048407975.1
LOC100649664	XM_048409862.1,XM_012313833.3
LOC100652224	XM_012320736.3,XM_003394238.4
LOC100643780	XM_003400051.4
LOC100648292	XM_012314647.3
LOC100647090	XM_012311736.3,XM_048404226.1
LOC100644458	XM_048411630.1,XM_012315332.3
LOC100647003	XM_003402100.4
LOC100647892	XM_003394516.4
LOC100649217	XM_020864812.2,XM_048408911.1,XM_020864813.2
LOC100646616	XM_012315767.3,XM_048414306.1,XM_012315734.3,XM_003393713.4,XM_012315741.3,XM_012315728.3,XM_012315758.3,XM_020868055.2,XM_012315752.3,XM_012315783.3
LOC100646197	XM_003400069.4
LOC100645953	XM_003398303.4
LOC100644154	XM_048414055.1
LOC100652054	XM_003400528.4
LOC100651819	XM_003401421.4
LOC100648344	XM_012317034.3,XM_012317035.3,XM_012317036.3
LOC100643751	XM_020868003.2
LOC100642992	XM_003394556.4
LOC100643238	XM_003394882.4
LOC100643010	XM_012314468.3,XM_012314466.3,XM_012314467.3,XM_012314465.3,XM_012314469.3
LOC100649206	XM_012307958.2,XM_003394930.4
LOC125387008	XM_048414187.1
LOC100651784	XM_048413342.1
LOC100646445	XM_048408202.1,XM_012318595.3,XM_048408201.1
LOC100646607	XM_012317465.3
LOC100648528	XM_048411113.1,XM_048411112.1,XM_048411114.1
LOC100644081	XM_003402773.4
LOC100643427	XM_003401674.4
LOC100644220	XM_012314485.3,XM_012314487.3,XM_012314488.3,XM_012314489.3
LOC100649309	XM_012316870.3,XM_020867072.2
LOC100645363	XM_048414456.1,XM_003393779.4,XM_048414457.1
LOC100643739	XM_012314193.3
LOC100648506	XM_012320449.3,XM_012320450.3,XM_012320447.2,XM_012320452.3
LOC100644852	XM_020865038.2
LOC105666446	XM_012315952.3
LOC100651110	XM_048409154.1,XM_003403211.4
LOC100649729	XM_003395756.4,XM_020862988.2
LOC100652181	XM_048408889.1,XM_048408887.1,XM_048408888.1
LOC100644463	XM_003401279.4
LOC105666615	XM_012317597.3
LOC100643418	XM_003399894.4,XM_048410690.1,XM_048410691.1,XM_020865740.2,XM_048410689.1,XM_012315203.3
LOC100642668	XM_012318725.3,XM_048405548.1,XM_012318726.3,XM_020867699.2
LOC100652137	XM_003400695.3
LOC100651613	XM_048410956.1,XM_048410957.1,XM_048410958.1
LOC100647604	XM_012313355.3
LOC100644037	XM_012317338.3,XM_048412897.1,XM_020866729.2,XM_048412896.1,XM_012317334.3,XM_003401440.4
LOC100647046	XM_048406799.1,XM_003402254.4
LOC100645564	XM_048408639.1,XM_048408636.1,XM_048408642.1,XM_048408640.1,XM_048408637.1,XM_048408643.1,XM_048408641.1,XM_048408644.1,XM_048408645.1,XM_048408646.1
LOC100644711	XM_012315437.3,XM_003393696.4,XM_048414423.1
LOC110119632	XM_048409280.1
LOC100651732	XM_003400526.4
LOC100650510	XM_003403047.4
LOC100645804	XM_048411100.1,XM_048411099.1,XM_020866004.2,XM_048411098.1,XM_048411097.1,XM_048411096.1
LOC100649450	XM_048406714.1,XM_012309574.3
