LOC122571469	XM_043735245.1
LOC122573956	XM_043740992.1,XM_043740991.1,XM_043740993.1
LOC122574630	XM_043742402.1
LOC122572419	XM_043737359.1
LOC122572012	XM_043736487.1
LOC122572927	XM_043738655.1,XM_043738656.1
LOC122566672	XM_043724269.1,XM_043724267.1
LOC122573240	XM_043739336.1
LOC122571955	XM_043736339.1,XM_043736338.1
LOC122577125	XM_043748235.1
LOC122575410	XM_043744280.1,XM_043744279.1
LOC122575774	XM_043745164.1,XM_043745165.1
LOC122568203	XM_043727667.1,XM_043727665.1,XM_043727666.1,XM_043727664.1,XM_043727668.1,XM_043727662.1
LOC122577290	XM_043748539.1
LOC122567362	XM_043725767.1,XM_043725766.1,XM_043725765.1
LOC122571770	XM_043735898.1
LOC122575737	XM_043745103.1
LOC122572655	XM_043737896.1
LOC122566879	XM_043724754.1,XM_043724755.1,XM_043724753.1,XM_043724752.1,XM_043724751.1
LOC122571627	XM_043735633.1
LOC122565726	XM_043722006.1
LOC122574167	XM_043741419.1
LOC122574482	XM_043742136.1,XM_043742135.1
LOC122573401	XM_043739703.1
LOC122574089	XM_043741229.1,XM_043741231.1,XM_043741230.1
LOC122574724	XM_043742651.1,XM_043742653.1,XM_043742652.1,XM_043742654.1
LOC122571651	XM_043735694.1,XM_043735686.1,XM_043735689.1,XM_043735690.1,XM_043735691.1,XM_043735692.1,XM_043735693.1,XM_043735688.1,XM_043735687.1
LOC122567331	XM_043725708.1
LOC122575928	XM_043745452.1
LOC122568975	XM_043729377.1,XM_043729380.1,XM_043729375.1,XM_043729374.1,XM_043729373.1,XM_043729383.1,XM_043729381.1,XM_043729386.1,XM_043729385.1,XM_043729379.1,XM_043729378.1,XM_043729382.1,XM_043729376.1
LOC122576007	XM_043745676.1
LOC122577010	XM_043748024.1,XM_043748025.1
LOC122568750	XM_043728863.1
LOC122572773	XM_043738209.1,XM_043738208.1
LOC122574448	XM_043742074.1,XM_043742073.1
LOC122572406	XM_043737338.1
LOC122576281	XM_043746357.1,XM_043746356.1,XM_043746358.1
LOC122572292	XM_043737094.1
LOC122577977	XM_043749756.1
LOC122577832	XM_043749497.1,XM_043749499.1,XM_043749498.1,XM_043749495.1
LOC122571833	XM_043736048.1,XM_043736049.1
LOC122576211	XM_043746150.1
LOC122575965	XM_043745535.1
LOC122572175	XM_043736835.1
LOC122577934	XM_043749662.1
LOC122571878	XM_043736154.1,XM_043736159.1,XM_043736156.1,XM_043736155.1,XM_043736158.1,XM_043736157.1
LOC122571171	XM_043734561.1
LOC122573334	XM_043739526.1
LOC122577080	XM_043748164.1
LOC122573377	XM_043739648.1,XM_043739647.1,XM_043739651.1,XM_043739655.1,XM_043739654.1,XM_043739650.1,XM_043739649.1,XM_043739652.1,XM_043739645.1,XM_043739646.1,XM_043739656.1
LOC122567404	XM_043725852.1
LOC122575632	XM_043744857.1
LOC122574412	XM_043741997.1,XM_043741995.1,XM_043741994.1,XM_043741993.1,XM_043741996.1
LOC122574855	XM_043742979.1
LOC122566734	XM_043724404.1,XM_043724403.1,XM_043724402.1,XM_043724401.1,XM_043724407.1,XM_043724405.1,XM_043724406.1
LOC122575047	XM_043743420.1,XM_043743417.1,XM_043743419.1,XM_043743418.1,XM_043743422.1,XM_043743423.1,XM_043743424.1,XM_043743421.1,XM_043743426.1,XM_043743429.1,XM_043743428.1,XM_043743427.1
LOC122572543	XM_043737610.1,XM_043737608.1
LOC122566777	XM_043724488.1
LOC122568858	XM_043729077.1
LOC122569603	XM_043730877.1
LOC122572830	XM_043738355.1,XM_043738354.1,XM_043738356.1,XM_043738357.1
LOC122568127	XM_043727502.1
LOC122566620	XM_043724172.1,XM_043724171.1,XM_043724173.1
LOC122577723	XM_043749243.1
LOC122570273	XM_043732382.1,XM_043732383.1,XM_043732384.1,XM_043732379.1,XM_043732380.1,XM_043732376.1,XM_043732378.1,XM_043732375.1,XM_043732373.1,XM_043732372.1,XM_043732377.1,XM_043732374.1,XM_043732371.1
LOC122571722	XM_043735782.1
LOC122575480	XM_043744486.1
LOC122576166	XM_043746062.1,XM_043746060.1
LOC122570792	XM_043733640.1
LOC122572489	XM_043737479.1,XM_043737478.1,XM_043737480.1
LOC122568764	XM_043728903.1,XM_043728904.1
LOC122577861	XM_043749570.1
LOC122568151	XM_043727552.1,XM_043727553.1
LOC122570238	XM_043732315.1,XM_043732318.1,XM_043732321.1,XM_043732325.1,XM_043732312.1,XM_043732313.1,XM_043732314.1,XM_043732316.1,XM_043732317.1,XM_043732319.1,XM_043732311.1,XM_043732322.1,XM_043732324.1,XM_043732326.1,XM_043732327.1,XM_043732323.1,XM_043732328.1,XM_043732330.1,XM_043732329.1
LOC122576091	XM_043745951.1,XM_043745948.1,XM_043745950.1,XM_043745949.1
LOC122572082	XM_043736667.1,XM_043736666.1
LOC122571484	XM_043735289.1
LOC122573497	XM_043739914.1,XM_043739913.1
LOC122577639	XM_043749068.1,XM_043749066.1,XM_043749067.1,XM_043749065.1,XM_043749062.1
LOC122569900	XM_043731541.1,XM_043731538.1,XM_043731539.1,XM_043731540.1,XM_043731542.1
LOC122569271	XM_043730103.1
LOC122566923	XM_043724873.1,XM_043724872.1
LOC122574299	XM_043741722.1,XM_043741723.1,XM_043741724.1
LOC122570601	XM_043733124.1,XM_043733123.1
LOC122571540	XM_043735415.1
LOC122572048	XM_043736569.1,XM_043736568.1
LOC122575544	XM_043744605.1
LOC122574064	XM_043741169.1
LOC122570546	XM_043732979.1
LOC122572302	XM_043737120.1,XM_043737119.1,XM_043737118.1,XM_043737123.1,XM_043737122.1,XM_043737121.1
LOC122568706	XM_043728773.1,XM_043728776.1,XM_043728774.1,XM_043728775.1
LOC122575459	XM_043744422.1,XM_043744423.1
LOC122568438	XM_043728139.1,XM_043728140.1
LOC122568473	XM_043728226.1
LOC122567698	XM_043726573.1
LOC122576104	XM_043745985.1,XM_043745984.1
LOC122572450	XM_043737408.1
LOC122575911	XM_043745412.1
LOC122574386	XM_043741903.1
LOC122569334	XM_043730221.1,XM_043730219.1,XM_043730218.1,XM_043730220.1
LOC122569377	XM_043730321.1,XM_043730323.1
LOC122566696	XM_043724326.1,XM_043724325.1,XM_043724327.1,XM_043724324.1
LOC122576265	XM_043746316.1
LOC122572745	XM_043738135.1
LOC122575615	XM_043744784.1,XM_043744783.1,XM_043744781.1,XM_043744782.1,XM_043744778.1,XM_043744785.1,XM_043744780.1
LOC122569497	XM_043730634.1
LOC122574435	XM_043742086.1
LOC122574567	XM_043742274.1
LOC122566468	XM_043723763.1
LOC122573900	XM_043740848.1
LOC122576317	XM_043746461.1,XM_043746460.1
LOC122568393	XM_043728082.1
LOC122577300	XM_043748842.1,XM_043748756.1,XM_043748701.1,XM_043748593.1,XM_043748658.1,XM_043748878.1,XM_043748802.1,XM_043748897.1,XM_043748907.1
LOC122568943	XM_043729270.1,XM_043729269.1,XM_043729271.1,XM_043729272.1
LOC122567466	XM_043725987.1
LOC122571741	XM_043735827.1
LOC122577815	XM_043749427.1,XM_043749426.1
LOC122572276	XM_043737066.1,XM_043737064.1
LOC122571453	XM_043735193.1,XM_043735192.1
LOC122573603	XM_043740214.1
LOC122566147	XM_043722980.1
LOC122568719	XM_043728800.1
LOC122570316	XM_043732458.1
LOC122566504	XM_043723862.1,XM_043723856.1,XM_043723858.1,XM_043723859.1,XM_043723860.1,XM_043723861.1,XM_043723863.1
LOC122567125	XM_043725351.1,XM_043725350.1
LOC122573864	XM_043740789.1
LOC122569787	XM_043731377.1
LOC122574403	XM_043741963.1,XM_043741962.1
LOC122576672	XM_043747335.1
LOC122574776	XM_043742778.1
LOC122577362	XM_043748656.1
LOC122571636	XM_043735661.1,XM_043735660.1
LOC122571363	XM_043735006.1
LOC122565737	XM_043722027.1
LOC122576044	XM_043745817.1,XM_043745816.1,XM_043745813.1,XM_043745814.1,XM_043745818.1
LOC122573758	XM_043740584.1
LOC122565774	XM_043722094.1,XM_043722093.1,XM_043722095.1
LOC122573635	XM_043740282.1,XM_043740280.1,XM_043740283.1,XM_043740281.1,XM_043740279.1,XM_043740277.1,XM_043740278.1,XM_043740276.1,XM_043740275.1,XM_043740285.1,XM_043740272.1,XM_043740273.1,XM_043740284.1
LOC122567356	XM_043725752.1
LOC122566358	XM_043723488.1
LOC122575591	XM_043744712.1
LOC122566007	XM_043722672.1,XM_043722670.1,XM_043722673.1,XM_043722669.1,XM_043722671.1
LOC122567010	XM_043725058.1
LOC122565928	XM_043722473.1,XM_043722472.1
LOC122577331	XM_043748611.1
LOC122569529	XM_043730696.1,XM_043730707.1
LOC122575369	XM_043744179.1
LOC122566281	XM_043723339.1,XM_043723338.1
LOC122573931	XM_043740944.1
LOC122572360	XM_043737238.1,XM_043737237.1,XM_043737239.1,XM_043737244.1,XM_043737241.1,XM_043737240.1,XM_043737243.1
LOC122569806	XM_043731408.1,XM_043731406.1
LOC122576547	XM_043747001.1,XM_043747003.1,XM_043747002.1,XM_043747000.1
LOC122570309	XM_043732440.1,XM_043732441.1
LOC122569612	XM_043730898.1,XM_043730896.1,XM_043730895.1,XM_043730897.1
LOC122575726	XM_043745086.1
LOC122576879	XM_043747754.1,XM_043747757.1,XM_043747753.1,XM_043747758.1,XM_043747761.1,XM_043747762.1,XM_043747764.1,XM_043747763.1,XM_043747756.1,XM_043747755.1,XM_043747760.1
LOC122572936	XM_043738684.1,XM_043738682.1,XM_043738683.1,XM_043738677.1,XM_043738685.1,XM_043738679.1,XM_043738687.1,XM_043738678.1,XM_043738686.1,XM_043738681.1,XM_043738688.1
LOC122566387	XM_043723567.1
LOC122570167	XM_043732159.1
LOC122569635	XM_043730973.1,XM_043730972.1
LOC122574697	XM_043742597.1,XM_043742598.1
LOC122576425	XM_043746720.1
LOC122575107	XM_043743636.1
LOC122571056	XM_043734272.1,XM_043734269.1,XM_043734270.1,XM_043734273.1
LOC122565685	XM_043721901.1
LOC122577274	XM_043748499.1,XM_043748500.1,XM_043748501.1
LOC122568536	XM_043728396.1
LOC122575790	XM_043745208.1
LOC122570724	XM_043733496.1,XM_043733494.1,XM_043733495.1,XM_043733497.1,XM_043733498.1
LOC122572799	XM_043738251.1,XM_043738252.1
LOC122570482	XM_043732850.1
LOC122570089	XM_043731959.1,XM_043731957.1,XM_043731958.1
LOC122577237	XM_043748402.1
LOC122573787	XM_043740630.1
LOC122573819	XM_043740711.1
LOC122569864	XM_043731519.1
LOC122573055	XM_043738968.1,XM_043738969.1
LOC122578024	XM_043749866.1,XM_043749865.1,XM_043749867.1
LOC122569962	XM_043731709.1,XM_043731691.1,XM_043731700.1,XM_043731682.1
LOC122566893	XM_043724811.1
LOC122572313	XM_043737153.1
LOC122567885	XM_043727010.1
LOC122569758	XM_043731312.1,XM_043731310.1
LOC122570448	XM_043732772.1,XM_043732773.1
LOC122570978	XM_043734080.1
LOC122574146	XM_043741371.1,XM_043741370.1,XM_043741372.1
LOC122573612	XM_043740236.1
LOC122576552	XM_043747017.1
LOC122572108	XM_043736702.1,XM_043736701.1
LOC122570933	XM_043733959.1,XM_043733958.1,XM_043733956.1,XM_043733954.1,XM_043733957.1
LOC122571805	XM_043735969.1,XM_043735968.1,XM_043735971.1,XM_043735972.1,XM_043735970.1
LOC122572801	XM_043738254.1
LOC122568076	XM_043727405.1,XM_043727400.1,XM_043727404.1,XM_043727402.1,XM_043727403.1,XM_043727401.1
LOC122565981	XM_043722621.1,XM_043722620.1
LOC122570630	XM_043733199.1,XM_043733196.1,XM_043733197.1,XM_043733198.1,XM_043733200.1,XM_043733195.1
LOC122567568	XM_043726246.1
LOC122567226	XM_043725577.1,XM_043725576.1,XM_043725583.1,XM_043725579.1,XM_043725582.1,XM_043725580.1,XM_043725581.1,XM_043725578.1
LOC122575314	XM_043744095.1,XM_043744096.1,XM_043744104.1,XM_043744100.1,XM_043744097.1,XM_043744098.1,XM_043744103.1,XM_043744099.1
LOC122569931	XM_043731610.1,XM_043731606.1,XM_043731607.1,XM_043731608.1,XM_043731609.1
LOC122566566	XM_043724019.1,XM_043724020.1,XM_043724021.1,XM_043724023.1
LOC122571310	XM_043734906.1,XM_043734904.1,XM_043734905.1,XM_043734907.1
LOC122566228	XM_043723189.1
LOC122573806	XM_043740682.1
LOC122571380	XM_043735053.1,XM_043735054.1
LOC122577698	XM_043749179.1
LOC122567525	XM_043726150.1,XM_043726154.1,XM_043726151.1,XM_043726153.1,XM_043726149.1,XM_043726146.1,XM_043726155.1,XM_043726148.1,XM_043726147.1,XM_043726156.1,XM_043726145.1
LOC122566104	XM_043722849.1
LOC122575384	XM_043744218.1,XM_043744220.1,XM_043744219.1,XM_043744223.1
LOC122569850	XM_043731491.1
LOC122574792	XM_043742819.1,XM_043742821.1,XM_043742816.1,XM_043742817.1,XM_043742818.1,XM_043742820.1,XM_043742822.1
LOC122574238	XM_043741590.1,XM_043741586.1,XM_043741585.1,XM_043741592.1,XM_043741591.1,XM_043741588.1,XM_043741589.1,XM_043741594.1,XM_043741595.1,XM_043741593.1
LOC122566265	XM_043723286.1,XM_043723285.1
LOC122574273	XM_043741668.1
LOC122565911	XM_043722429.1
LOC122573648	XM_043740302.1
LOC122568908	XM_043729188.1,XM_043729186.1
LOC122575898	XM_043745387.1
LOC122572224	XM_043736975.1
LOC122575066	XM_043743474.1,XM_043743475.1,XM_043743472.1,XM_043743476.1,XM_043743477.1
LOC122571229	XM_043734726.1,XM_043734737.1
LOC122570006	XM_043731788.1
LOC122575191	XM_043743816.1
LOC122573682	XM_043740388.1
LOC122574601	XM_043742340.1,XM_043742339.1,XM_043742335.1,XM_043742337.1,XM_043742338.1
LOC122570299	XM_043732422.1,XM_043732421.1,XM_043732420.1
LOC122574905	XM_043743101.1,XM_043743102.1,XM_043743103.1,XM_043743104.1,XM_043743105.1,XM_043743107.1,XM_043743108.1
LOC122567815	XM_043726848.1
LOC122573430	XM_043739793.1,XM_043739785.1
LOC122569129	XM_043729679.1,XM_043729678.1
LOC122567059	XM_043725153.1,XM_043725155.1,XM_043725154.1,XM_043725152.1
LOC122567452	XM_043725971.1,XM_043725970.1
LOC122573889	XM_043740833.1
LOC122573717	XM_043740478.1
LOC122572897	XM_043738556.1,XM_043738555.1
LOC122570412	XM_043732689.1,XM_043732688.1,XM_043732692.1,XM_043732690.1,XM_043732691.1
LOC122570855	XM_043733742.1
LOC122570019	XM_043731818.1,XM_043731822.1,XM_043731821.1
LOC122565615	XM_043721742.1,XM_043721740.1
LOC122575223	XM_043743897.1
LOC122568235	XM_043727755.1
LOC122566317	XM_043723420.1
LOC122567300	XM_043725661.1
LOC122570567	XM_043733061.1
LOC122570435	XM_043732748.1,XM_043732747.1,XM_043732746.1,XM_043732745.1
LOC122572003	XM_043736451.1,XM_043736449.1,XM_043736447.1,XM_043736448.1,XM_043736450.1
LOC122575507	XM_043744538.1
LOC122577404	XM_043748698.1,XM_043748699.1,XM_043748697.1,XM_043748696.1,XM_043748695.1,XM_043748694.1,XM_043748700.1
LOC122565632	XM_043721805.1
LOC122568136	XM_043727523.1,XM_043727530.1,XM_043727516.1,XM_043727525.1,XM_043727526.1,XM_043727515.1,XM_043727520.1,XM_043727519.1,XM_043727517.1,XM_043727529.1,XM_043727518.1,XM_043727527.1,XM_043727521.1,XM_043727524.1,XM_043727522.1
LOC122576777	XM_043747541.1
LOC122568212	XM_043727701.1,XM_043727692.1,XM_043727683.1,XM_043727711.1,XM_043727732.1,XM_043727722.1,XM_043727740.1
LOC122569682	XM_043731108.1
LOC122567934	XM_043727108.1
LOC122567832	XM_043726895.1,XM_043726892.1,XM_043726894.1
LOC122567977	XM_043727202.1
LOC122573850	XM_043740768.1
LOC122566211	XM_043723153.1,XM_043723154.1,XM_043723155.1
LOC122575353	XM_043744154.1,XM_043744155.1
LOC122568379	XM_043728060.1
LOC122569648	XM_043731007.1,XM_043731006.1
LOC122567080	XM_043725262.1,XM_043725278.1,XM_043725253.1,XM_043725273.1,XM_043725242.1
LOC122568092	XM_043727447.1,XM_043727449.1,XM_043727448.1
LOC122570064	XM_043731924.1,XM_043731921.1,XM_043731933.1
LOC122576152	XM_043746027.1,XM_043746026.1
LOC122571000	XM_043734124.1
LOC122576923	XM_043747841.1
LOC122568499	XM_043728287.1
LOC122567639	XM_043726423.1
LOC122572508	XM_043737513.1
LOC122567447	XM_043725961.1,XM_043725962.1
LOC122565661	XM_043721855.1,XM_043721854.1,XM_043721856.1
LOC122576620	XM_043747206.1
LOC122569430	XM_043730481.1,XM_043730480.1
LOC122565839	XM_043722252.1,XM_043722251.1,XM_043722254.1
LOC122567168	XM_043725454.1
LOC122572354	XM_043737231.1
LOC122567861	XM_043726989.1,XM_043726987.1,XM_043726986.1,XM_043726983.1,XM_043726985.1,XM_043726984.1,XM_043726988.1,XM_043726982.1
LOC122566091	XM_043722829.1,XM_043722831.1,XM_043722830.1
LOC122571359	XM_043734999.1
LOC122567723	XM_043726623.1,XM_043726626.1
LOC122570386	XM_043732619.1,XM_043732618.1,XM_043732620.1
LOC122569717	XM_043731203.1
LOC122566166	XM_043723018.1,XM_043723020.1,XM_043723017.1,XM_043723019.1
LOC122574373	XM_043741890.1
LOC122570185	XM_043732187.1,XM_043732188.1
LOC122574338	XM_043741835.1
LOC122570713	XM_043733447.1,XM_043733444.1,XM_043733445.1,XM_043733448.1,XM_043733449.1,XM_043733450.1,XM_043733451.1,XM_043733452.1,XM_043733453.1
LOC122566365	XM_043723506.1
LOC122575284	XM_043744016.1,XM_043744014.1,XM_043744013.1,XM_043744015.1
LOC122567675	XM_043726495.1,XM_043726496.1
LOC122570532	XM_043732944.1,XM_043732943.1
LOC122568486	XM_043728251.1,XM_043728250.1,XM_043728252.1
LOC122567441	XM_043725951.1,XM_043725950.1
LOC122576122	XM_043746011.1
LOC122565667	XM_043721867.1
LOC122571766	XM_043735894.1,XM_043735893.1
LOC122567753	XM_043726694.1
LOC122570399	XM_043732655.1
LOC122570949	XM_043734010.1,XM_043734009.1
LOC122571329	XM_043734937.1,XM_043734938.1
LOC122573765	XM_043740600.1
LOC122573159	XM_043739200.1,XM_043739201.1
LOC122566097	XM_043722844.1
LOC122576650	XM_043747242.1,XM_043747243.1,XM_043747246.1,XM_043747244.1,XM_043747240.1,XM_043747241.1,XM_043747247.1
LOC122578013	XM_043749846.1
LOC122567867	XM_043726997.1,XM_043727002.1
LOC122573510	XM_043739952.1
LOC122575501	XM_043744526.1
LOC122570561	XM_043733053.1,XM_043733054.1
LOC122570644	XM_043733226.1
LOC122576771	XM_043747529.1
LOC122570479	XM_043732843.1,XM_043732841.1,XM_043732844.1,XM_043732845.1,XM_043732846.1,XM_043732847.1
LOC122568335	XM_043727976.1
LOC122566217	XM_043723173.1
LOC122569180	XM_043729788.1,XM_043729789.1,XM_043729790.1,XM_043729791.1,XM_043729793.1,XM_043729792.1
LOC122567200	XM_043725517.1
LOC122567971	XM_043727181.1,XM_043727182.1,XM_043727180.1
LOC122573820	XM_043740715.1,XM_043740714.1,XM_043740713.1,XM_043740712.1
LOC122566594	XM_043724070.1,XM_043724073.1,XM_043724069.1,XM_043724074.1,XM_043724071.1
LOC122568312	XM_043727927.1
LOC122569765	XM_043731329.1,XM_043731345.1,XM_043731335.1
LOC122576848	XM_043747687.1
LOC122573068	XM_043738995.1,XM_043738994.1
LOC122569159	XM_043729732.1
LOC122567029	XM_043725096.1
LOC122567422	XM_043725898.1,XM_043725897.1
LOC122573711	XM_043740469.1,XM_043740472.1,XM_043740471.1,XM_043740470.1
LOC122577846	XM_043749542.1
LOC122567784	XM_043726769.1,XM_043726768.1
LOC122576984	XM_043747973.1
LOC122575253	XM_043743955.1
LOC122572891	XM_043738532.1,XM_043738538.1,XM_043738535.1,XM_043738534.1,XM_043738537.1,XM_043738533.1
LOC122576882	XM_043747770.1
LOC122572198	XM_043736908.1,XM_043736907.1
LOC122566311	XM_043723414.1,XM_043723413.1,XM_043723415.1,XM_043723417.1,XM_043723416.1
LOC122576030	XM_043745754.1,XM_043745758.1,XM_043745763.1,XM_043745764.1,XM_043745767.1,XM_043745769.1,XM_043745775.1,XM_043745776.1,XM_043745755.1,XM_043745756.1,XM_043745743.1,XM_043745744.1,XM_043745742.1,XM_043745741.1,XM_043745746.1,XM_043745745.1,XM_043745747.1,XM_043745760.1,XM_043745749.1,XM_043745753.1,XM_043745748.1,XM_043745751.1,XM_043745750.1,XM_043745783.1,XM_043745771.1,XM_043745757.1,XM_043745781.1,XM_043745759.1,XM_043745761.1,XM_043745768.1,XM_043745765.1,XM_043745766.1,XM_043745770.1,XM_043745774.1,XM_043745773.1,XM_043745778.1,XM_043745777.1,XM_043745779.1,XM_043745780.1
LOC122570825	XM_043733681.1
LOC122572716	XM_043738061.1,XM_043738062.1,XM_043738063.1
LOC122575646	XM_043744929.1,XM_043744931.1,XM_043744930.1,XM_043744928.1,XM_043744932.1,XM_043744927.1
LOC122573180	XM_043739229.1,XM_043739228.1
LOC122576689	XM_043747349.1
LOC122566803	XM_043724567.1
LOC122569820	XM_043731430.1,XM_043731428.1
LOC122573563	XM_043740087.1,XM_043740088.1,XM_043740089.1,XM_043740092.1,XM_043740094.1,XM_043740090.1,XM_043740096.1,XM_043740095.1,XM_043740091.1
LOC122567555	XM_043726226.1
LOC122572709	XM_043738037.1
LOC122570760	XM_043733566.1
LOC122571704	XM_043735763.1,XM_043735765.1,XM_043735767.1,XM_043735764.1,XM_043735766.1
LOC122575700	XM_043745022.1
LOC122571259	XM_043734851.1,XM_043734846.1,XM_043734833.1,XM_043734860.1,XM_043734824.1,XM_043734867.1,XM_043734845.1,XM_043734840.1,XM_043734876.1
LOC122576570	XM_043747062.1,XM_043747059.1,XM_043747058.1,XM_043747057.1,XM_043747060.1,XM_043747061.1
LOC122574607	XM_043742352.1,XM_043742351.1,XM_043742353.1
LOC122575197	XM_043743827.1
LOC122570515	XM_043732917.1
LOC122565843	XM_043722266.1
LOC122567390	XM_043725827.1,XM_043725838.1
LOC122577262	XM_043748448.1,XM_043748449.1,XM_043748450.1
LOC122570585	XM_043733083.1,XM_043733085.1
LOC122570216	XM_043732263.1,XM_043732262.1
LOC122566258	XM_043723271.1,XM_043723272.1,XM_043723273.1,XM_043723274.1
LOC122565987	XM_043722629.1,XM_043722630.1
LOC122574345	XM_043741859.1,XM_043741858.1
LOC122574995	XM_043743295.1
LOC122573559	XM_043740081.1
LOC122567256	XM_043725638.1,XM_043725639.1
LOC122576619	XM_043747205.1
LOC122569974	XM_043731708.1,XM_043731707.1
LOC122573110	XM_043739070.1,XM_043739071.1,XM_043739069.1
LOC122576740	XM_043747460.1
LOC122569937	XM_043731627.1,XM_043731628.1
LOC122570096	XM_043731972.1,XM_043731970.1,XM_043731971.1
LOC122572786	XM_043738233.1
LOC122570209	XM_043732243.1,XM_043732242.1,XM_043732240.1
LOC122574691	XM_043742709.1,XM_043742628.1
LOC122570161	XM_043732130.1,XM_043732129.1
LOC122571026	XM_043734191.1
LOC122569444	XM_043730517.1,XM_043730519.1,XM_043730529.1,XM_043730539.1
LOC122575269	XM_043743981.1,XM_043743987.1,XM_043743984.1,XM_043743985.1,XM_043743979.1,XM_043743980.1,XM_043743986.1,XM_043743983.1,XM_043743988.1
LOC122566381	XM_043723555.1
LOC122570754	XM_043733560.1,XM_043733559.1
LOC122576455	XM_043746793.1,XM_043746792.1
LOC122577231	XM_043748395.1
LOC122570868	XM_043733774.1,XM_043733792.1,XM_043733767.1,XM_043733868.1,XM_043733811.1,XM_043733802.1,XM_043733858.1,XM_043733839.1,XM_043733783.1,XM_043733820.1,XM_043733831.1,XM_043733849.1,XM_043733875.1,XM_043733884.1,XM_043733893.1,XM_043733902.1,XM_043733911.1
LOC122576812	XM_043747605.1,XM_043747594.1,XM_043747623.1,XM_043747614.1
LOC122576914	XM_043747829.1,XM_043747839.1
LOC122569679	XM_043731100.1,XM_043731098.1
LOC122568998	XM_043729429.1,XM_043729431.1
LOC122567714	XM_043726602.1
LOC122569728	XM_043731244.1,XM_043731245.1,XM_043731246.1,XM_043731242.1,XM_043731243.1
LOC122574702	XM_043742604.1
LOC122576606	XM_043747184.1,XM_043747183.1
LOC122573781	XM_043740622.1
LOC122569163	XM_043729747.1,XM_043729748.1,XM_043729749.1
LOC122567470	XM_043726004.1,XM_043726005.1
LOC122577608	XM_043748997.1
LOC122573025	XM_043738887.1,XM_043738888.1,XM_043738890.1,XM_043738889.1,XM_043738894.1,XM_043738891.1,XM_043738893.1,XM_043738895.1,XM_043738896.1
LOC122566194	XM_043723118.1
LOC122565762	XM_043722073.1
LOC122577337	XM_043748626.1
LOC122566001	XM_043722657.1
LOC122576664	XM_043747320.1,XM_043747319.1,XM_043747321.1
LOC122576541	XM_043746983.1,XM_043746984.1
LOC122565958	XM_043722548.1,XM_043722551.1,XM_043722550.1,XM_043722546.1,XM_043722549.1,XM_043722557.1,XM_043722556.1,XM_043722553.1,XM_043722554.1,XM_043722552.1,XM_043722555.1
LOC122569559	XM_043730773.1
LOC122573937	XM_043740956.1,XM_043740955.1
LOC122566287	XM_043723347.1
LOC122573872	XM_043740799.1,XM_043740798.1,XM_043740800.1
LOC122569110	XM_043729643.1
LOC122572213	XM_043736948.1,XM_043736949.1,XM_043736947.1,XM_043736950.1,XM_043736953.1,XM_043736952.1,XM_043736954.1
LOC122575094	XM_043743544.1
LOC122572598	XM_043737738.1
LOC122571090	XM_043734370.1,XM_043734372.1,XM_043734374.1,XM_043734373.1,XM_043734368.1,XM_043734375.1,XM_043734371.1
LOC122568002	XM_043727251.1
LOC122568409	XM_043728109.1
LOC122573728	XM_043740488.1
