Orthogroup	Bombus_affinis.prot.fa.largestIsoform	Bombus_bifarius.prot.fa.largestIsoform	Bombus_pyrosoma.prot.fa.largestIsoform	Bombus_terrestris.prot.fa.largestIsoform	amellifera_eg_gene	dmelanogaster_eg_gene
OG0000010						FBgn0033640, FBgn0034906, FBgn0035011, FBgn0035012, FBgn0035068, FBgn0039621, FBgn0053453, FBgn0053453, FBgn0053454, FBgn0053463, FBgn0053483, FBgn0053483, FBgn0053632, FBgn0053648, FBgn0053648, FBgn0053654, FBgn0053658, FBgn0053679, FBgn0053687, FBgn0053688, FBgn0053689, FBgn0053690, FBgn0053700, FBgn0053702, FBgn0053703, FBgn0053721, FBgn0053723, FBgn0053725, FBgn0053725, FBgn0053752, FBgn0053757, FBgn0053758, FBgn0053764, FBgn0053773, FBgn0053775, FBgn0053777, FBgn0053783, FBgn0053784, FBgn0053795, FBgn0053796, FBgn0053798, FBgn0053912, FBgn0053914, FBgn0053920, FBgn0053922, FBgn0053923, FBgn0053927, FBgn0053928, FBgn0085332
OG0000011	LOC126915209, LOC126915210, LOC126915245, LOC126915248, LOC126915249, LOC126915251, LOC126927031, LOC126927033, LOC126927035, LOC126927036, LOC126927037, LOC126927038, LOC126927039, LOC126927040, LOC126927041, LOC126927042, LOC126927043, LOC126927044, LOC126927046, LOC126927047, LOC126927048, LOC126927208, LOC126927371, LOC126927383, LOC126927713, LOC126927716, LOC126927884, LOC126927886, LOC126927887, LOC126927903, LOC126927904, LOC126927940, LOC126927941, LOC126928078, LOC126928080, LOC126928199, LOC126928298, LOC126928401, LOC126928415, LOC126928437, LOC126928582, LOC126928639		LOC122568252	LOC100645358, LOC125385248, LOC125386973, LOC125387055		FBgn0038454
OG0000012	LOC126913792, LOC126915252, LOC126921536, LOC126921537, LOC126921538, LOC126927373, LOC126927386, LOC126927702, LOC126927703, LOC126927704, LOC126927705, LOC126927706, LOC126927707, LOC126927836, LOC126927908, LOC126927909, LOC126927910, LOC126927945, LOC126927946, LOC126928113, LOC126928173, LOC126928201, LOC126928209, LOC126928254, LOC126928269, LOC126928271, LOC126928272, LOC126928341, LOC126928348, LOC126928374, LOC126928384, LOC126928416, LOC126928446, LOC126928518, LOC126928583, LOC126928585, LOC126928595, LOC126928619, LOC126928640, LOC126928651	LOC117213441	LOC122568253	LOC100645154, LOC125384660, LOC125385723, LOC125386972		FBgn0037687
OG0000013	LOC126917195, LOC126917196, LOC126917197, LOC126917198, LOC126917199, LOC126917200, LOC126917201, LOC126917202, LOC126917203, LOC126917204, LOC126917205, LOC126917207, LOC126917965, LOC126917967, LOC126917968, LOC126917969	LOC117207074, LOC117207561, LOC117207580	LOC122572300, LOC122572393, LOC122572394	LOC100643777, LOC100646070, LOC100649421, LOC100649524, LOC125385912, LOC125385913, LOC125385914, LOC125385915, LOC125385916, LOC125385917, LOC125385918, LOC125385919, LOC125385979, LOC125385980, LOC125385981, LOC125385982, LOC125385995, LOC125385996, LOC125385997, LOC125385998, LOC125385999, LOC125386022, LOC125386023		FBgn0261592, FBgn0261592
OG0000014	LOC126919285, LOC126919782, LOC126919783, LOC126923050, LOC126923051	LOC117210600, LOC117210697, LOC117210845, LOC117210846, LOC117211579	LOC122569228, LOC122571658, LOC122571662, LOC122575179, LOC122575180	LOC100631090, LOC100644906, LOC100645399, LOC100645858, LOC105665767		FBgn0004828, FBgn0014857, FBgn0051613, FBgn0053803, FBgn0053806, FBgn0053809, FBgn0053812, FBgn0053815, FBgn0053818, FBgn0053821, FBgn0053824, FBgn0053827, FBgn0053830, FBgn0053833, FBgn0053836, FBgn0053839, FBgn0053842, FBgn0053845, FBgn0053848, FBgn0053851, FBgn0053854, FBgn0053857, FBgn0053860, FBgn0053863, FBgn0053866
OG0000015	LOC126915213, LOC126915214, LOC126915253, LOC126915254, LOC126915256, LOC126927052, LOC126927053, LOC126927056, LOC126927057, LOC126927058, LOC126927384, LOC126927385, LOC126927714, LOC126927715, LOC126927888, LOC126927889, LOC126927890, LOC126927905, LOC126927906, LOC126927943, LOC126927944, LOC126928218, LOC126928275, LOC126928399, LOC126928440, LOC126928597		LOC122568122	LOC125385250, LOC125385288, LOC125385289, LOC125385290, LOC125387065, LOC125387066, LOC125387067, LOC125387068, LOC125387069, LOC125387070, LOC125387071, LOC125387072, LOC125387073, LOC125387074, LOC125387075		FBgn0052647
OG0000016				LOC105666106, LOC105666775, LOC105666840, LOC105666850, LOC105666908, LOC105666924, LOC105667073, LOC105667082, LOC110120082, LOC110120083, LOC110120187, LOC125385012, LOC125385040, LOC125385140, LOC125385143, LOC125385266, LOC125385367, LOC125385392, LOC125385463, LOC125385464, LOC125385617, LOC125386216, LOC125386561, LOC125386667, LOC125386672, LOC125386673, LOC125386675, LOC125386763, LOC125386764, LOC125386771, LOC125386913, LOC125386942, LOC125386964, LOC125386965, LOC125386967, LOC125386968, LOC125386974, LOC125386995, LOC125387003, LOC125387111, LOC125387119, LOC125387124, LOC125387229		
OG0000017	LOC126914674	LOC117206302, LOC117208444, LOC117208453, LOC117208675, LOC117208677, LOC117210771, LOC117213270, LOC117213871, LOC117213873, LOC117213875, LOC117213879, LOC117214139, LOC117214149, LOC117214150, LOC117214619, LOC117214629, LOC117214975, LOC117214989, LOC117214999, LOC117215032, LOC117215316, LOC117215318, LOC117215320, LOC117215460, LOC117215463, LOC117215481, LOC117215482, LOC117215519, LOC117215540, LOC117215595, LOC117215597, LOC117215599, LOC117215603, LOC117215606, LOC117216054, LOC117216645	LOC122566786	LOC100651796		FBgn0259164
OG0000018	LOC126919652, LOC126921294, LOC126925068, LOC126926495	LOC117206210, LOC117208051, LOC117208707, LOC117211850, LOC117212375, LOC117212616, LOC117212763, LOC117212828, LOC117213231, LOC117213344, LOC117215215, LOC117215250, LOC117215357, LOC117215409, LOC117215547, LOC117215638, LOC117215651, LOC117216143, LOC117216267	LOC122568108, LOC122568405, LOC122568409, LOC122569789, LOC122570305, LOC122571722, LOC122571737, LOC122573650, LOC122574368, LOC122575000, LOC122577083, LOC122577105, LOC122577385, LOC122577392	LOC105666278, LOC105666498, LOC125386317		
OG0000019	LOC126925908, LOC126926499, LOC126926583, LOC126926621, LOC126927161	LOC117205850, LOC117208309, LOC117208446, LOC117208463, LOC117208464, LOC117209713, LOC117211222, LOC117211822, LOC117212565, LOC117213258, LOC117213366, LOC117213420, LOC117213886, LOC117213895, LOC117215214, LOC117215266, LOC117215308, LOC117215340, LOC117215548	LOC122570257, LOC122571717, LOC122571768, LOC122574358, LOC122574999, LOC122576636, LOC122577087, LOC122577388, LOC122577418, LOC122577484, LOC122577494, LOC122577495, LOC122577496, LOC122577511	LOC105666770, LOC125386757		
OG0000020		LOC117204532, LOC117204797, LOC117204931, LOC117205756, LOC117209546, LOC117209710, LOC117212043, LOC117212658, LOC117212660, LOC117212664, LOC117212665, LOC117212747, LOC117212766, LOC117213151, LOC117213266, LOC117213323, LOC117213336, LOC117213346, LOC117213379, LOC117213396, LOC117213401, LOC117213404, LOC117213406, LOC117213901, LOC117213980, LOC117214340, LOC117214524, LOC117214615, LOC117215009, LOC117215292, LOC117215296, LOC117215330, LOC117215994, LOC117216029, LOC117216031, LOC117216065, LOC117216075, LOC117216095, LOC117216099, LOC117216957				
OG0000021	LOC126913980	LOC117204124	LOC122567072	LOC100649765		FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159, FBgn0033159
OG0000022	LOC126916777, LOC126919289, LOC126919789, LOC126919790	LOC117210317, LOC117210849, LOC117210850, LOC117211538	LOC122568915, LOC122571724, LOC122571727	LOC100643875, LOC100645277, LOC100645974, LOC105665959		FBgn0013981, FBgn0051611, FBgn0053869, FBgn0053871, FBgn0053873, FBgn0053875, FBgn0053877, FBgn0053879, FBgn0053881, FBgn0053883, FBgn0053885, FBgn0053887, FBgn0053889, FBgn0053891, FBgn0053893, FBgn0053895, FBgn0053897, FBgn0053899, FBgn0053901, FBgn0053903, FBgn0053905, FBgn0053907, FBgn0053909
OG0000023	LOC126914538, LOC126916901, LOC126919286, LOC126919784, LOC126919785	LOC117204187, LOC117208971, LOC117210847, LOC117210883, LOC117211537	LOC122566697, LOC122569233, LOC122569716, LOC122571668, LOC122571674	LOC100644480, LOC100645738, LOC100646144		FBgn0051618, FBgn0053808, FBgn0053814, FBgn0053817, FBgn0053820, FBgn0053823, FBgn0053826, FBgn0053829, FBgn0053832, FBgn0053835, FBgn0053838, FBgn0053841, FBgn0053844, FBgn0053847, FBgn0053850, FBgn0053853, FBgn0053856, FBgn0053859, FBgn0053862, FBgn0053865
OG0000024	LOC126922576, LOC126922579, LOC126922581, LOC126922582, LOC126922778, LOC126922779, LOC126922780	LOC117216436, LOC117216438, LOC117216439, LOC117216440, LOC117216441, LOC117216442, LOC117216443, LOC117216444, LOC117216445, LOC117216629, LOC117216630, LOC117216631	LOC122574289, LOC122574290, LOC122574291, LOC122574292, LOC122574293, LOC122574295, LOC122574372, LOC122574373, LOC122574374, LOC122574375	LOC100646753, LOC100647006, LOC105666428, LOC105666430, LOC105666432, LOC110119816, LOC125384632, LOC125386218, LOC125386219		
OG0000025	LOC126922410, LOC126926293	LOC117215248, LOC117215992	LOC122573300, LOC122574156, LOC122576865, LOC122576866, LOC122576867, LOC122576877, LOC122576878, LOC122576884, LOC122576917, LOC122576918, LOC122576919, LOC122576920, LOC122576921, LOC122576925, LOC122576928, LOC122577070, LOC122577072, LOC122577073, LOC122577075, LOC122577076, LOC122577078, LOC122577079, LOC122577080, LOC122577088, LOC122577401, LOC122577405, LOC122577411, LOC122577425, LOC122577472, LOC122577479, LOC122577490	LOC100648933		
OG0000026	LOC126916771, LOC126919786, LOC126920985	LOC117209012, LOC117210199, LOC117210848	LOC122568861, LOC122568914, LOC122571676	LOC100645198, LOC100645616, LOC105665878		FBgn0053868, FBgn0053870, FBgn0053872, FBgn0053874, FBgn0053876, FBgn0053878, FBgn0053880, FBgn0053882, FBgn0053884, FBgn0053886, FBgn0053888, FBgn0053890, FBgn0053892, FBgn0053894, FBgn0053896, FBgn0053898, FBgn0053900, FBgn0053902, FBgn0053904, FBgn0053906, FBgn0053908, FBgn0053910, FBgn0061209
OG0000027	LOC126922787, LOC126922788, LOC126922789, LOC126922828, LOC126922829, LOC126922830, LOC126922831, LOC126922832	LOC117213484, LOC117213485, LOC117213489, LOC117213490, LOC117213528, LOC117213530, LOC117213531, LOC117216420	LOC122574385, LOC122574386, LOC122574387, LOC122574409, LOC122574410, LOC122574411, LOC122574412, LOC122574413	LOC100646434, LOC100646677, LOC100647041, LOC100647234, LOC100647549, LOC100647785, LOC100648029, LOC100648257, LOC100649469		FBgn0033302, FBgn0033304
OG0000028	LOC126914733, LOC126914740, LOC126914751, LOC126914752, LOC126914773, LOC126914774, LOC126914785, LOC126916433, LOC126916434, LOC126916440, LOC126916443, LOC126916880, LOC126916881, LOC126916882, LOC126926789, LOC126926790, LOC126926793, LOC126926801, LOC126926802, LOC126926824, LOC126926971, LOC126926978, LOC126927215, LOC126927216, LOC126927217, LOC126927218, LOC126927223, LOC126927671, LOC126927977, LOC126927978, LOC126928224, LOC126928225, LOC126928238, LOC126928240					
OG0000029		LOC117212531	LOC122566387, LOC122570075, LOC122570291, LOC122570294, LOC122570306, LOC122570430, LOC122570431, LOC122571690, LOC122571725, LOC122571743, LOC122571746, LOC122571773, LOC122572175, LOC122574157, LOC122574359, LOC122574360, LOC122574366, LOC122576654, LOC122577082, LOC122577358, LOC122577398, LOC122577459, LOC122577497, LOC122577510, LOC122577513, LOC122577544, LOC122577549, LOC122577550, LOC122577554, LOC122577557, LOC122577566, LOC122577568	LOC125386969		
OG0000030	LOC126914587, LOC126914588, LOC126914589, LOC126914590, LOC126914595, LOC126914600, LOC126914602, LOC126914604, LOC126914605, LOC126914606	LOC117207343, LOC117207344, LOC117207359, LOC117207362, LOC117208451, LOC117212286, LOC117213355, LOC117213356, LOC117214996, LOC117215142, LOC117215233, LOC117215557, LOC117215902	LOC122566646, LOC122567232, LOC122567234, LOC122567236	LOC100642242, LOC100642484, LOC100652036, LOC125384943, LOC125384944, VSP		
OG0000031	LOC126914253, LOC126914669, LOC126918869, LOC126926772, LOC126926773, LOC126926774, LOC126926776, LOC126926777, LOC126926778, LOC126926779, LOC126926780, LOC126926917, LOC126926963, LOC126926964, LOC126926965, LOC126926966, LOC126926967, LOC126927023, LOC126927024, LOC126927209, LOC126927210, LOC126927211, LOC126927212, LOC126927214, LOC126927680, LOC126927996, LOC126928189	LOC117212205	LOC122577766	LOC100650829		FBgn0261617, FBgn0261617, FBgn0261617
OG0000032	LOC126915069, LOC126926342, LOC126927391	LOC117207682, LOC117208429, LOC117211898, LOC117213011, LOC117213208, LOC117213209, LOC117213289, LOC117213291, LOC117213367, LOC117213368, LOC117214740, LOC117215022, LOC117215024, LOC117215230, LOC117215290, LOC117215334, LOC117215335, LOC117215355, LOC117215362, LOC117215408, LOC117215416, LOC117215449, LOC117215566, LOC117215592, LOC117215719, LOC117215955, LOC117215998, LOC117216256	LOC122568391	LOC100649557		
OG0000033	LOC126920504	LOC117204707	LOC122570678	LOC100642930		FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944, FBgn0285944
OG0000034	LOC126914468, LOC126915685, LOC126921079, LOC126923898, LOC126924223, LOC126924331, LOC126924581	LOC117205623, LOC117205659, LOC117207436, LOC117208916, LOC117209921, LOC117213754, LOC117216910	LOC122566480, LOC122568692, LOC122573735, LOC122575419, LOC122575472, LOC122575546, LOC122576010	LOC100643379, LOC100643627, LOC100645489, LOC100647677, LOC100650317, LOC100651299, LOC100651972		FBgn0003884, FBgn0003885, FBgn0003886, FBgn0087040
OG0000035	LOC126914568, LOC126914761, LOC126919445, LOC126920967, LOC126921934, LOC126926009	LOC117204118, LOC117205021, LOC117210216, LOC117211993, LOC117212444, LOC117214775	LOC122566835, LOC122567099, LOC122567322, LOC122570837, LOC122573459, LOC122577125	LOC100644515, LOC100645590, LOC100646168, LOC100647784, LOC100650134, LOC105665750	LOC412309	FBgn0010333, FBgn0010341, FBgn0014011, FBgn0014380, FBgn0014380, FBgn0039532
OG0000036	LOC126916202, LOC126916524, LOC126916531, LOC126916532, LOC126916997, LOC126916998, LOC126917000	LOC117205905, LOC117212548, LOC117212550, LOC117212551, LOC117212552, LOC117212556, LOC117212557	LOC122565867, LOC122565948, LOC122565949, LOC122565950, LOC122565953, LOC122565954, LOC122566073	LOC100644360, LOC100645518, LOC100645555, LOC100649919, LOC100650394, LOC110120329, LOC125384606		FBgn0030859, FBgn0035557, FBgn0050471
OG0000037	LOC126919274, LOC126919778	LOC117210844, LOC117211541	LOC122569219, LOC122571641	LOC100643639, LOC100645512		FBgn0051617, FBgn0053801, FBgn0053804, FBgn0053807, FBgn0053810, FBgn0053813, FBgn0053816, FBgn0053819, FBgn0053822, FBgn0053825, FBgn0053828, FBgn0053831, FBgn0053834, FBgn0053837, FBgn0053840, FBgn0053843, FBgn0053846, FBgn0053849, FBgn0053852, FBgn0053855, FBgn0053858, FBgn0053861, FBgn0053864
OG0000038	LOC126918852, LOC126918853, LOC126919038, LOC126919039, LOC126919040, LOC126919041, LOC126919042, LOC126919046	LOC117206569, LOC117206603, LOC117206639, LOC117206772, LOC117206773, LOC117206774, LOC117206775	LOC122573838, LOC122573844, LOC122573878, LOC122573886, LOC122573902, LOC122573906, LOC122573915, LOC122577779	LOC100647649, LOC105667091, LOC105667092, LOC105667106, LOC105667107, LOC105667108, LOC105667109		
OG0000039	LOC126924313, LOC126924318, LOC126924319, LOC126924320, LOC126924321	LOC117205760, LOC117205769, LOC117205771, LOC117205772, LOC117205773, LOC117205774, LOC117205775, LOC117205776, LOC117205840, LOC117205842, LOC117205843	LOC122575379, LOC122575380, LOC122575381, LOC122575899, LOC122576052, LOC122576068	LOC100647120, LOC100647791, LOC100647913, LOC100648032, LOC125386391		FBgn0263143
OG0000040	LOC126915206	LOC117208611, LOC117208661, LOC117213307, LOC117213351, LOC117213353, LOC117213375, LOC117213454, LOC117213854, LOC117215117, LOC117215138, LOC117215495, LOC117215556, LOC117215561, LOC117215563, LOC117215836, LOC117215890, LOC117215980, LOC117216045, LOC117216126, LOC117216127, LOC117216134, LOC117216136, LOC117216260	LOC122568133	LOC100648277		FBgn0036641
OG0000041	LOC126920473	LOC117204883	LOC122571227	LOC100650043		FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429, FBgn0003429
OG0000042		LOC117208437, LOC117209136, LOC117209363, LOC117210826, LOC117211286, LOC117211287, LOC117212047, LOC117212149, LOC117212746, LOC117213324, LOC117213377, LOC117213395, LOC117213436, LOC117213536, LOC117213537, LOC117213538, LOC117213539, LOC117213540, LOC117213541, LOC117213542, LOC117213544, LOC117215260, LOC117215808, LOC117216052, LOC117216067, LOC117216110, LOC117216111				
OG0000043						FBgn0001285, FBgn0003356, FBgn0003357, FBgn0003358, FBgn0020906, FBgn0023197, FBgn0031653, FBgn0031654, FBgn0035661, FBgn0035665, FBgn0035666, FBgn0035667, FBgn0035669, FBgn0035670, FBgn0035886, FBgn0035887, FBgn0036015, FBgn0036022, FBgn0036023, FBgn0036024, FBgn0036738, FBgn0039777, FBgn0039778, FBgn0040060, FBgn0052382, FBgn0052383, FBgn0250815
OG0000044	LOC126916347, LOC126916348, LOC126916351, LOC126916724, LOC126921010	LOC117207033, LOC117207034, LOC117207035, LOC117210151, LOC117212641	LOC122566061, LOC122566216, LOC122568952, LOC122573387	LOC100645887, LOC100646910, LOC100648239, LOC100648427, LOC100648624	LOC551176	FBgn0000042, FBgn0000043, FBgn0000044, FBgn0000045, FBgn0000046, FBgn0000047
