HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0000037	OG0000011	n0				LOC125386764, LOC125386942, LOC110120083, LOC105666775, LOC125387003, LOC105666106, LOC105666840, LOC105666924, LOC125387124, LOC105666850, LOC125386995, LOC125387229, LOC125387111, LOC125385040, LOC125386561, LOC125386968, LOC125386763, LOC125386967, LOC125386964, LOC105667073, LOC125385012, LOC105667082, LOC125386771, LOC125386913, LOC125385143, LOC110120187, LOC125386965, LOC125386673, LOC125385392, LOC105666908, LOC125385266, LOC125386672, LOC125386974, LOC125385367, LOC125386667, LOC125386216, LOC125385140, LOC110120082, LOC125385463, LOC125385464, LOC125386675, LOC125387119, LOC125385617
N0.HOG0000038	OG0000012	n0	LOC126928275, LOC126928218, LOC126927905, LOC126927385, LOC126928399, LOC126927384, LOC126927943, LOC126928597, LOC126927944, LOC126927906, LOC126927888, LOC126927889, LOC126915256, LOC126915214, LOC126915253, LOC126927890, LOC126915213, LOC126928440, LOC126915254, LOC126927052, LOC126927053, LOC126927057, LOC126927056, LOC126927058, LOC126927715, LOC126927714		LOC122568122	LOC125385289, LOC125385288, LOC125385290, LOC125387069, LOC125387066, LOC125387070, LOC125387065, LOC125387071, LOC125387073, LOC125387072, LOC125387074, LOC125387075, LOC125387068, LOC125387067, LOC125385250
N0.HOG0000039	OG0000013	n2		LOC117212375, LOC117212763, LOC117208707, LOC117215250, LOC117206210		
N0.HOG0000040	OG0000013	n13		LOC117216267, LOC117215357, LOC117215547	LOC122568409	
N0.HOG0000041	OG0000013	n19		LOC117211850	LOC122571737, LOC122577083, LOC122570305, LOC122577385, LOC122577392, LOC122568405	
N0.HOG0000042	OG0000013	n25		LOC117215651, LOC117213344	LOC122573650	
N0.HOG0000043	OG0000013	n27	LOC126926495	LOC117213231, LOC117215215, LOC117215409, LOC117216143		
N0.HOG0000044	OG0000013	n32		LOC117212616		LOC125386317
N0.HOG0000045	OG0000013	n33	LOC126919652, LOC126921294	LOC117212828, LOC117215638	LOC122575000, LOC122574368	LOC105666278
N0.HOG0000046	OG0000014	n3	LOC126926621	LOC117212565	LOC122577494, LOC122571768, LOC122577511, LOC122574999	
N0.HOG0000047	OG0000014	n8		LOC117215308, LOC117213420, LOC117215266, LOC117215214, LOC117215340, LOC117213886, LOC117213258, LOC117205850, LOC117211222	LOC122577388, LOC122574358	
N0.HOG0000048	OG0000014	n18		LOC117215548	LOC122571717	LOC105666770
N0.HOG0000049	OG0000014	n21			LOC122577484, LOC122576636	
N0.HOG0000050	OG0000014	n25	LOC126926499	LOC117209713, LOC117208309		
N0.HOG0000051	OG0000014	n27		LOC117211822, LOC117213366, LOC117208464, LOC117208463, LOC117208446	LOC122577496, LOC122577495	LOC125386757
N0.HOG0000052	OG0000014	n34	LOC126925908, LOC126927161, LOC126926583	LOC117213895	LOC122577418, LOC122570257	
N0.HOG0000053	OG0000015	n0		LOC117204931, LOC117213901, LOC117209546, LOC117215994, LOC117213151, LOC117213346, LOC117212658, LOC117213396, LOC117216099, LOC117216095, LOC117215292, LOC117213401, LOC117214524, LOC117216065, LOC117216031, LOC117215330, LOC117214615, LOC117213379, LOC117212766, LOC117213323, LOC117212043, LOC117212665, LOC117205756, LOC117213406, LOC117213336, LOC117216075, LOC117213404, LOC117215296, LOC117216957, LOC117216029, LOC117212664, LOC117213266, LOC117212660, LOC117204532, LOC117215009, LOC117214340, LOC117204797, LOC117209710, LOC117212747, LOC117213980		
N0.HOG0000054	OG0000016	n0	LOC126914674	LOC117208677, LOC117214149, LOC117210771, LOC117213270, LOC117214629, LOC117214975, LOC117213871, LOC117215603, LOC117215519, LOC117215481, LOC117214999, LOC117215316, LOC117213873, LOC117208453, LOC117206302, LOC117215032, LOC117215606, LOC117216645, LOC117214619, LOC117208675, LOC117214139, LOC117215595, LOC117215597, LOC117215599, LOC117216054, LOC117208444, LOC117215320, LOC117215318, LOC117213875, LOC117214989, LOC117215482, LOC117213879, LOC117214150, LOC117215460, LOC117215463, LOC117215540		LOC100651796
N0.HOG0000055	OG0000017	n0	LOC126922410, LOC126926293	LOC117215992, LOC117215248	LOC122577078, LOC122577490, LOC122577070, LOC122577472, LOC122577075, LOC122577079, LOC122577401, LOC122577080, LOC122577411, LOC122577088, LOC122573300, LOC122574156, LOC122577425, LOC122576918, LOC122576920, LOC122576919, LOC122576867, LOC122576917, LOC122576884, LOC122576866, LOC122577073, LOC122576865, LOC122576921, LOC122577405, LOC122577072, LOC122577076, LOC122576925, LOC122576928, LOC122576877, LOC122576878, LOC122577479	LOC100648933
N0.HOG0000056	OG0000018	n0	LOC126927216, LOC126927223, LOC126926801, LOC126916882, LOC126926971, LOC126926802, LOC126927218, LOC126914740, LOC126914733, LOC126928225, LOC126928240, LOC126927978, LOC126914785, LOC126916881, LOC126916880, LOC126928224, LOC126927977, LOC126916440, LOC126916434, LOC126916433, LOC126928238, LOC126916443, LOC126914752, LOC126914751, LOC126926789, LOC126926790, LOC126927215, LOC126914773, LOC126926978, LOC126914774, LOC126926824, LOC126926793, LOC126927217, LOC126927671			
N0.HOG0000057	OG0000019	n0		LOC117212531	LOC122570431, LOC122570075, LOC122574157, LOC122577566, LOC122577082, LOC122576654, LOC122577358, LOC122570430, LOC122572175, LOC122577554, LOC122577459, LOC122577513, LOC122566387, LOC122577544, LOC122577557, LOC122574366, LOC122571743, LOC122577549, LOC122570306, LOC122571746, LOC122571773, LOC122577497, LOC122571690, LOC122574360, LOC122577568, LOC122570294, LOC122577398, LOC122577510, LOC122571725, LOC122577550, LOC122570291, LOC122574359	LOC125386969
N0.HOG0000058	OG0000020	n1	LOC126922829	LOC117213528	LOC122574410	LOC100646677
N0.HOG0000059	OG0000020	n7	LOC126922831	LOC117213531	LOC122574413	LOC100647234
N0.HOG0000060	OG0000020	n10	LOC126922828	LOC117213530	LOC122574411	LOC100646434
N0.HOG0000061	OG0000020	n14	LOC126922832	LOC117213485	LOC122574409	LOC100648029
N0.HOG0000062	OG0000020	n17	LOC126922787	LOC117216420	LOC122574385	LOC100648257, LOC100649469
N0.HOG0000063	OG0000020	n22	LOC126922830	LOC117213484	LOC122574412	LOC100647785
N0.HOG0000064	OG0000020	n26	LOC126922788	LOC117213489	LOC122574386	LOC100647549
N0.HOG0000065	OG0000020	n29	LOC126922789	LOC117213490	LOC122574387	LOC100647041
N0.HOG0000066	OG0000021	n0	LOC126918869, LOC126926917, LOC126926963, LOC126927209, LOC126926780, LOC126926779, LOC126927214, LOC126914669, LOC126926967, LOC126927211, LOC126927212, LOC126926966, LOC126927210, LOC126926965, LOC126926964, LOC126926778, LOC126927996, LOC126926776, LOC126928189, LOC126926777, LOC126914253, LOC126926774, LOC126926772, LOC126926773, LOC126927024, LOC126927023, LOC126927680	LOC117212205	LOC122577766	LOC100650829
N0.HOG0000067	OG0000022	n1	LOC126919038	LOC117206773	LOC122573878	LOC105667091, LOC105667106
N0.HOG0000068	OG0000022	n6	LOC126919039	LOC117206775	LOC122573902	
N0.HOG0000069	OG0000022	n9	LOC126919041	LOC117206774	LOC122573906	LOC105667107
N0.HOG0000070	OG0000022	n15	LOC126918853	LOC117206603	LOC122577779	LOC105667092
N0.HOG0000071	OG0000022	n18	LOC126918852	LOC117206569	LOC122573844	LOC105667109
N0.HOG0000072	OG0000022	n21	LOC126919042, LOC126919046	LOC117206772	LOC122573886, LOC122573838	LOC100647649
N0.HOG0000073	OG0000022	n26	LOC126919040	LOC117206639	LOC122573915	LOC105667108
N0.HOG0000074	OG0000023	n0	LOC126927391, LOC126926342	LOC117213368, LOC117215362, LOC117213209, LOC117213291, LOC117215290, LOC117215408, LOC117207682, LOC117215592, LOC117215335, LOC117213011, LOC117215955, LOC117215719, LOC117215230, LOC117216256, LOC117215024, LOC117213208, LOC117213367, LOC117208429, LOC117215998, LOC117215416, LOC117215566, LOC117214740, LOC117215022, LOC117213289, LOC117215355, LOC117215449, LOC117215334		
N0.HOG0000075	OG0000024	n1	LOC126923898	LOC117205659	LOC122576010	LOC100647677
N0.HOG0000076	OG0000024	n9	LOC126921079	LOC117207436	LOC122573735	LOC100643379
N0.HOG0000077	OG0000024	n12	LOC126915685	LOC117213754	LOC122568692	LOC100645489
N0.HOG0000078	OG0000024	n15	LOC126924581	LOC117208916	LOC122575472	LOC100643627
N0.HOG0000079	OG0000024	n18	LOC126914468	LOC117216910	LOC122566480	LOC100650317
N0.HOG0000080	OG0000024	n21	LOC126924223	LOC117209921	LOC122575546	LOC100651972
N0.HOG0000081	OG0000024	n24	LOC126924331	LOC117205623	LOC122575419	LOC100651299
N0.HOG0000082	OG0000025	n0		LOC117213542, LOC117213377, LOC117213540, LOC117213436, LOC117215808, LOC117216111, LOC117216110, LOC117213541, LOC117213324, LOC117209136, LOC117212746, LOC117208437, LOC117213536, LOC117212149, LOC117213539, LOC117216067, LOC117215260, LOC117213537, LOC117216052, LOC117213395, LOC117210826, LOC117213538, LOC117212047, LOC117211286, LOC117211287, LOC117213544, LOC117209363		
N0.HOG0000083	OG0000026	n0	LOC126915206	LOC117213454, LOC117208611, LOC117213854, LOC117215117, LOC117215138, LOC117215495, LOC117213307, LOC117215561, LOC117215563, LOC117215836, LOC117213351, LOC117215980, LOC117208661, LOC117216127, LOC117213375, LOC117216126, LOC117216134, LOC117216136, LOC117213353, LOC117216045, LOC117215556, LOC117215890, LOC117216260	LOC122568133	LOC100648277
N0.HOG0000084	OG0000027	n1	LOC126926282	LOC117213146	LOC122576868, LOC122577473, LOC122577475, LOC122576869	LOC100648006
N0.HOG0000085	OG0000027	n8	LOC126926279			LOC105667062, LOC125386728
N0.HOG0000086	OG0000027	n11		LOC117217077, LOC117215253		
N0.HOG0000087	OG0000027	n14	LOC126926278	LOC117215990		LOC100648121, LOC100648853
N0.HOG0000088	OG0000027	n18	LOC126929016	LOC117215575	LOC122572239	LOC100650185
N0.HOG0000089	OG0000027	n21	LOC126926284	LOC117217078	LOC122577477	LOC100642232
N0.HOG0000090	OG0000028	n0	LOC126922282, LOC126922283, LOC126922271, LOC126922270, LOC126922273, LOC126922272		LOC122567554	LOC125385168, LOC125385169, LOC125385165, LOC125385156, LOC125385161, LOC125385164, LOC125385159, LOC125385166, LOC100645947, LOC125385160, LOC125385163, LOC100642687, LOC125385157, LOC125385167, LOC125385158, LOC100646062, LOC125385162, LOC105665778
N0.HOG0000091	OG0000029	n0	LOC126926920, LOC126922762, LOC126926590, LOC126924450	LOC117215654, LOC117213308	LOC122567863, LOC122577407, LOC122572074, LOC122567344, LOC122574257, LOC122571322, LOC122569959, LOC122577481, LOC122574355, LOC122574361, LOC122577508, LOC122568009, LOC122576646, LOC122577509, LOC122568137, LOC122577498, LOC122576923, LOC122574515	LOC105666598
N0.HOG0000092	OG0000030	n0		LOC117214636, LOC117215721, LOC117215605, LOC117212534, LOC117210483, LOC117215508, LOC117213343, LOC117215949, LOC117215154, LOC117215534, LOC117215172, LOC117215536, LOC117212608, LOC117215483, LOC117214622, LOC117214111, LOC117214125, LOC117216084, LOC117212144, LOC117208484, LOC117214131, LOC117214114, LOC117213880	LOC122566799	LOC100651035
N0.HOG0000093	OG0000031	n0	LOC126928460, LOC126928431, LOC126927974, LOC126928584, LOC126927964, LOC126928373, LOC126915235, LOC126928133, LOC126927458, LOC126928253, LOC126928121, LOC126927455, LOC126928347, LOC126927835, LOC126928051, LOC126928130, LOC126927456, LOC126913793, LOC126928406, LOC126928111, LOC126928380, LOC126927963, LOC126928614, LOC126928527			
N0.HOG0000094	OG0000032	n1		LOC117208516	LOC122577099, LOC122570259	
N0.HOG0000095	OG0000032	n5	LOC126925067	LOC117212475, LOC117212596, LOC117215525	LOC122577260, LOC122577261	
N0.HOG0000096	OG0000032	n10		LOC117213817, LOC117207801, LOC117212593	LOC122568089	
N0.HOG0000097	OG0000032	n13		LOC117213673, LOC117212779	LOC122575898, LOC122570268, LOC122574134, LOC122577486, LOC122568195, LOC122570588, LOC122568058, LOC122570231, LOC122567995	
N0.HOG0000098	OG0000033	n3	LOC126917573	LOC117212967	LOC122572729	
N0.HOG0000099	OG0000033	n5	LOC126917574	LOC117212984	LOC122572728	
N0.HOG0000100	OG0000033	n7	LOC126917575, LOC126917580		LOC122572359, LOC122572730, LOC122572358	LOC110119693, LOC100645055
N0.HOG0000101	OG0000033	n14	LOC126917572	LOC117212981	LOC122572732	LOC100645294
N0.HOG0000102	OG0000033	n17	LOC126917571	LOC117212971	LOC122572363, LOC122572230, LOC122572731	LOC105665636
N0.HOG0000103	OG0000034	n0		LOC117215512, LOC117215516, LOC117215972, LOC117215971, LOC117212778, LOC117216077, LOC117213006, LOC117216078, LOC117216076, LOC117213005, LOC117212777, LOC117213168, LOC117215517, LOC117213230, LOC117215511, LOC117215515, LOC117215513, LOC117215518, LOC117213229, LOC117213180, LOC117213179, LOC117213178, LOC117213182		
N0.HOG0000104	OG0000035	n0		LOC117215498, LOC117215156, LOC117215538, LOC117215539, LOC117215174, LOC117215415, LOC117215157, LOC117215939, LOC117214603, LOC117214605, LOC117216655, LOC117214130, LOC117215507, LOC117215028, LOC117216995, LOC117216646, LOC117215903, LOC117214997, LOC117215793, LOC117214113, LOC117215943, LOC117215418		
N0.HOG0000105	OG0000036	n1	LOC126924264	LOC117213255	LOC122571323	LOC105666730
N0.HOG0000106	OG0000036	n4	LOC126928721	LOC117205300	LOC122571720, LOC122571747, LOC122571770, LOC122571740, LOC122571749, LOC122571769, LOC122577409, LOC122571772, LOC122577512, LOC122572068, LOC122577537, LOC122572069, LOC122571482, LOC122571771	LOC105667000
N0.HOG0000107	OG0000037	n1	LOC126917662	LOC117213919	LOC122572589	LOC105666204
N0.HOG0000108	OG0000037	n5			LOC122574132, LOC122571551, LOC122572050, LOC122571596, LOC122571552, LOC122576827, LOC122576825, LOC122574109, LOC122572593	
N0.HOG0000109	OG0000037	n14	LOC126917663	LOC117213920	LOC122572590	LOC100643853
N0.HOG0000110	OG0000037	n17	LOC126917666	LOC117213923	LOC122572594	LOC105666207
N0.HOG0000111	OG0000038	n0	LOC126922554, LOC126928186, LOC126928005, LOC126927600, LOC126927621, LOC126927115, LOC126927529, LOC126927114, LOC126927117, LOC126927874, LOC126928223, LOC126927525, LOC126927617, LOC126921278, LOC126927116, LOC126927530, LOC126927601, LOC126927119	LOC117216394	LOC122574335	LOC125386201
N0.HOG0000112	OG0000039	n0	LOC126922299	LOC117213187	LOC122567559	LOC125385171, LOC125385175, LOC100646412, LOC125385179, LOC125385178, LOC125385170, LOC125385174, LOC125385181, LOC125385177, LOC125385180, LOC125385183, LOC125385182, LOC125385176, LOC125385172, LOC125384646, LOC100646179, LOC125385173, LOC125385184
N0.HOG0000113	OG0000040	n0		LOC117212748, LOC117213321, LOC117213347, LOC117215008, LOC117204932, LOC117215125, LOC117205755, LOC117213150, LOC117215607, LOC117212659, LOC117208303, LOC117213263, LOC117209709, LOC117214078, LOC117213380, LOC117215766, LOC117214558, LOC117204533, LOC117204798, LOC117213264	LOC122577322	
N0.HOG0000114	OG0000041	n0		LOC117212535, LOC117215173, LOC117215722, LOC117215497, LOC117215537, LOC117211823, LOC117212663, LOC117213286, LOC117209472, LOC117213278, LOC117214557, LOC117212476, LOC117215198, LOC117208442, LOC117215509, LOC117213154, LOC117214895, LOC117216651, LOC117214602, LOC117215940, LOC117215942		
N0.HOG0000115	OG0000042	n1	LOC126916724	LOC117210151	LOC122568952	LOC100646910
N0.HOG0000116	OG0000042	n5	LOC126921010	LOC117212641	LOC122573387	LOC100645887
N0.HOG0000117	OG0000042	n14	LOC126916348	LOC117207034	LOC122566218	LOC100648624
N0.HOG0000118	OG0000042	n17	LOC126916347	LOC117207033		LOC100648427
N0.HOG0000119	OG0000043	n1	LOC126917109	LOC117211343	LOC122572402	LOC100644974
N0.HOG0000120	OG0000043	n7	LOC126924213	LOC117209920	LOC122575541	LOC100651734
N0.HOG0000121	OG0000043	n10	LOC126918080	LOC117212687	LOC122572882	LOC100645338
N0.HOG0000122	OG0000043	n13	LOC126918081	LOC117212691	LOC122572883	LOC100645209
N0.HOG0000123	OG0000043	n16	LOC126915403	LOC117214870	LOC122568705	LOC100650642
N0.HOG0000124	OG0000044	n0	LOC126920082, LOC126928026, LOC126920796, LOC126916890	LOC117208096	LOC122565959	LOC125387223, LOC125384779, LOC125387211, LOC125384752, LOC125384729, LOC125387227, LOC125384768, LOC125387199, LOC125384730, LOC125384788, LOC125384731, LOC125384769, LOC125384707, LOC125384754
N0.HOG0000125	OG0000045	n1	LOC126917000	LOC117212551, LOC117212550		LOC125384606, LOC100645518, LOC100650394
N0.HOG0000126	OG0000045	n9	LOC126916202	LOC117205905		LOC100645555
N0.HOG0000127	OG0000045	n11	LOC126916524	LOC117212557, LOC117212552, LOC117212548		LOC100644360
N0.HOG0000128	OG0000045	n15	LOC126916998			LOC110120329
N0.HOG0000129	OG0000045	n16	LOC126916997, LOC126916532	LOC117212556		LOC100649919
N0.HOG0000130	OG0000046	n1	LOC126925190	LOC117215840	LOC122569901	LOC100648096
N0.HOG0000131	OG0000046	n5	LOC126918049	LOC117208754	LOC122573200	LOC100647746
N0.HOG0000132	OG0000046	n9	LOC126923438	LOC117207508	LOC122575133	LOC100647119
N0.HOG0000133	OG0000046	n13	LOC126923416	LOC117217275	LOC122575284	LOC100642819
N0.HOG0000134	OG0000046	n16	LOC126923436	LOC117207517	LOC122574953	LOC100648299
N0.HOG0000135	OG0000047	n0	LOC126927907	LOC117213860, LOC117215401, LOC117215834, LOC117215564, LOC117215562, LOC117215837, LOC117215558, LOC117215406, LOC117216006, LOC117211851, LOC117215891, LOC117212532, LOC117215139, LOC117216258, LOC117213862, LOC117212772, LOC117210482, LOC117215116	LOC122568121	
